subject-id,DSC,ASD,HD95,NSD,model
sub-verse058_vert-19-seg-vert_msk,0.85,0.83,2.24,0.87,TLPredictor
sub-verse058_vert-19-seg-vert_msk,0.89,0.59,1.41,0.94,SwinUNETR
sub-verse058_vert-19-seg-vert_msk,0.9,0.48,1.41,0.94,AttentionUnet
sub-verse058_vert-19-seg-vert_msk,0.86,0.72,2.0,0.91,UNETR
sub-verse058_vert-19-seg-vert_msk,0.87,0.66,1.73,0.9,UNet
sub-verse058_vert-20-seg-vert_msk,0.89,0.57,1.41,0.93,UNet
sub-verse058_vert-20-seg-vert_msk,0.86,0.66,2.24,0.86,MultiScale2DPermuteConcat
sub-verse058_vert-20-seg-vert_msk,0.88,0.57,1.73,0.91,SwinUNETR
sub-verse058_vert-20-seg-vert_msk,0.88,0.57,2.0,0.89,UNETR
sub-verse058_vert-20-seg-vert_msk,0.89,0.53,1.73,0.92,TwoDPermuteConcat
sub-verse058_vert-20-seg-vert_msk,0.89,0.51,1.41,0.93,AttentionUnet
sub-verse058_vert-20-seg-vert_msk,0.86,0.72,2.0,0.88,TLPredictor
sub-verse058_vert-20-seg-vert_msk,0.86,0.64,2.24,0.86,OneDConcat
sub-verse058_vert-21-seg-vert_msk,0.87,0.63,2.0,0.89,TLPredictor
sub-verse058_vert-21-seg-vert_msk,0.9,0.45,1.41,0.93,UNETR
sub-verse058_vert-21-seg-vert_msk,0.89,0.5,1.41,0.94,SwinUNETR
sub-verse058_vert-21-seg-vert_msk,0.9,0.45,1.73,0.92,MultiScale2DPermuteConcat
sub-verse058_vert-21-seg-vert_msk,0.87,0.63,2.0,0.89,OneDConcat
sub-verse058_vert-21-seg-vert_msk,0.88,0.56,1.73,0.91,UNet
sub-verse058_vert-21-seg-vert_msk,0.9,0.46,1.41,0.94,TwoDPermuteConcat
sub-verse058_vert-21-seg-vert_msk,0.9,0.44,1.41,0.95,AttentionUnet
sub-verse058_vert-22-seg-vert_msk,0.9,0.46,1.73,0.92,AttentionUnet
sub-verse058_vert-22-seg-vert_msk,0.84,0.72,2.24,0.83,OneDConcat
sub-verse058_vert-22-seg-vert_msk,0.87,0.59,2.0,0.88,UNet
sub-verse058_vert-22-seg-vert_msk,0.88,0.54,1.73,0.91,SwinUNETR
sub-verse058_vert-22-seg-vert_msk,0.88,0.56,2.0,0.88,TwoDPermuteConcat
sub-verse058_vert-22-seg-vert_msk,0.87,0.63,1.73,0.91,UNETR
sub-verse058_vert-22-seg-vert_msk,0.88,0.54,2.24,0.89,MultiScale2DPermuteConcat
sub-verse058_vert-22-seg-vert_msk,0.86,0.66,2.83,0.83,TLPredictor
sub-verse058_vert-23-seg-vert_msk,0.88,0.58,1.41,0.92,SwinUNETR
sub-verse058_vert-23-seg-vert_msk,0.87,0.7,2.0,0.88,TwoDPermuteConcat
sub-verse058_vert-23-seg-vert_msk,0.87,0.65,1.73,0.91,UNETR
sub-verse058_vert-23-seg-vert_msk,0.88,0.61,1.73,0.91,UNet
