id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse406_split-verse261_vert-8,1.990,47.000,3.920,5.090,4.110,5.840,0.600
sub-verse409_split-verse266_vert-12,6.050,45.540,0.900,0.820,1.060,0.040,0.530
sub-verse409_split-verse266_vert-14,10.230,4.620,1.410,2.520,3.660,3.660,0.800
sub-verse409_split-verse266_vert-13,6.640,38.520,3.570,0.770,4.030,2.650,1.930
sub-verse409_split-verse266_vert-15,7.560,59.850,1.870,2.680,4.020,3.530,0.710
sub-verse409_split-verse266_vert-16,5.450,21.100,1.550,2.030,4.800,1.730,0.840
sub-verse409_split-verse266_vert-17,0.090,19.830,1.810,1.240,1.890,1.140,0.550
sub-verse409_split-verse266_vert-19,0.590,73.760,0.720,1.980,1.260,0.510,2.820
sub-verse409_split-verse266_vert-8,6.570,6.030,3.030,0.490,2.010,0.730,0.780
sub-verse409_split-verse266_vert-21,11.210,40.490,2.020,0.730,1.960,3.750,1.010
sub-verse409_split-verse266_vert-22,6.390,11.180,2.150,2.230,3.380,4.670,0.190
sub-verse409_split-verse266_vert-24,5.780,3.740,0.510,0.920,3.370,1.340,2.290
sub-verse409_split-verse266_vert-23,6.340,20.200,7.640,4.540,6.540,4.760,3.600
sub-verse410_split-verse227_vert-2,0.680,3.700,2.420,1.240,5.840,3.790,1.010
sub-verse410_split-verse227_vert-3,2.030,57.680,0.760,2.330,1.010,2.230,0.030
sub-verse410_split-verse227_vert-4,0.660,83.650,0.120,1.470,0.270,2.170,0.750
sub-verse410_split-verse227_vert-6,0.270,1.780,0.970,1.200,0.720,0.750,1.140
sub-verse409_split-verse266_vert-9,5.380,2.500,2.690,0.880,2.960,2.780,0.740
sub-verse410_split-verse227_vert-5,3.410,81.870,0.250,2.880,0.400,3.930,1.210
sub-verse410_split-verse227_vert-7,0.610,5.900,1.310,2.030,2.210,2.330,0.010
sub-verse410_split-verse227_vert-8,0.260,5.850,1.200,0.900,4.180,4.590,0.330
sub-verse410_split-verse267_vert-10,6.860,5.850,1.950,1.320,1.550,2.030,1.350
sub-verse410_split-verse267_vert-13,1.140,4.880,0.540,0.790,2.960,1.420,1.640
sub-verse410_split-verse267_vert-12,8.240,36.140,0.610,0.660,2.090,3.130,0.040
sub-verse410_split-verse267_vert-14,5.830,2.260,0.260,0.720,0.980,3.060,0.750
sub-verse410_split-verse267_vert-11,0.820,52.810,0.290,0.800,2.100,3.170,1.410
sub-verse410_split-verse267_vert-16,8.440,46.860,1.570,0.110,0.140,0.250,0.410
sub-verse410_split-verse267_vert-18,0.530,98.650,0.960,0.610,0.920,0.720,0.460
sub-verse410_split-verse267_vert-20,0.810,8.090,0.610,0.070,0.540,1.180,0.000
sub-verse410_split-verse267_vert-21,0.140,8.680,2.000,1.220,4.110,3.390,0.760
sub-verse410_split-verse267_vert-19,2.430,141.720,0.090,0.160,2.230,0.350,0.340
sub-verse410_split-verse267_vert-22,3.460,1.510,0.250,0.390,2.250,2.850,0.590
sub-verse410_split-verse267_vert-23,0.600,3.370,1.620,0.140,1.630,3.540,2.050
sub-verse410_split-verse267_vert-8,1.400,73.320,0.960,1.710,0.190,0.300,0.270
sub-verse410_split-verse267_vert-24,1.660,15.330,0.200,1.090,2.930,2.080,1.340
sub-verse410_split-verse267_vert-9,0.030,96.960,2.110,1.730,1.770,0.060,0.510
