subject-id,DSC,ASD,HD95,NSD,model
s0386_rib_msk,0.02,18.78,35.94,0.12,TLPredictor
s0386_rib_msk,0.33,5.04,16.49,0.5,AttentionUnet
s0386_rib_msk,0.15,11.98,31.31,0.35,UNETR
s0386_rib_msk,0.24,1.54,18.25,0.19,MultiScale2DPermuteConcat
s0386_rib_msk,0.31,2.26,22.59,0.35,TwoDPermuteConcat
s0945_rib_msk,0.58,0.66,2.24,0.61,AttentionUnet
s0945_rib_msk,0.28,1.62,5.66,0.34,TLPredictor
s0945_rib_msk,0.46,1.08,3.74,0.48,UNet
s0945_rib_msk,0.55,0.92,2.24,0.59,TwoDPermuteConcat
s0945_rib_msk,0.5,0.98,5.74,0.53,MultiScale2DPermuteConcat
s0945_rib_msk,0.41,1.25,4.69,0.44,UNETR
s0945_rib_msk,0.27,1.62,18.81,0.3,OneDConcat
s1089_rib_msk,0.58,0.87,3.16,0.53,UNet
s1089_rib_msk,0.55,0.96,4.12,0.49,TwoDPermuteConcat
s1089_rib_msk,0.36,1.36,7.35,0.32,TLPredictor
s1089_rib_msk,0.36,1.49,16.4,0.32,OneDConcat
s1089_rib_msk,0.62,0.74,8.06,0.54,MultiScale2DPermuteConcat
s1089_rib_msk,0.44,1.26,4.36,0.4,UNETR
s1089_rib_msk,0.58,0.78,3.61,0.53,AttentionUnet
s0982_rib_msk,0.23,2.19,11.31,0.2,AttentionUnet
s0982_rib_msk,0.18,2.95,22.14,0.14,OneDConcat
s0982_rib_msk,0.21,2.23,18.81,0.18,MultiScale2DPermuteConcat
s0982_rib_msk,0.22,3.24,15.39,0.18,UNETR
s0982_rib_msk,0.21,2.77,14.21,0.19,UNet
s0982_rib_msk,0.11,4.68,17.0,0.11,TLPredictor
s0982_rib_msk,0.18,2.76,15.17,0.15,TwoDPermuteConcat
s1029_rib_msk,0.44,1.22,5.2,0.4,UNETR
s1029_rib_msk,0.41,1.41,7.87,0.37,TLPredictor
s1029_rib_msk,0.6,0.84,5.2,0.56,MultiScale2DPermuteConcat
s1029_rib_msk,0.4,1.46,15.01,0.37,OneDConcat
s1029_rib_msk,0.58,0.76,3.61,0.54,AttentionUnet
