id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse410_split-verse227_vert-7,0.000,1.030,3.210,2.390,3.130,0.490,0.620
sub-verse410_split-verse267_vert-11,4.040,55.660,0.030,1.020,1.670,3.050,0.030
sub-verse410_split-verse227_vert-8,2.070,16.940,0.910,0.820,5.980,2.480,0.740
sub-verse410_split-verse267_vert-13,2.650,5.920,0.640,0.530,2.320,2.830,0.020
sub-verse410_split-verse267_vert-12,7.910,8.480,0.940,0.690,1.630,4.200,0.200
sub-verse410_split-verse267_vert-14,1.720,8.010,0.510,0.070,2.670,3.200,0.020
sub-verse410_split-verse267_vert-16,5.500,8.320,1.820,0.300,0.280,2.540,0.280
sub-verse410_split-verse267_vert-15,1.850,8.530,0.870,0.830,1.580,0.370,0.320
sub-verse410_split-verse267_vert-17,3.240,9.540,1.000,1.790,8.480,4.080,0.330
sub-verse410_split-verse267_vert-18,0.770,99.180,0.600,0.750,1.690,1.660,0.070
sub-verse410_split-verse267_vert-19,0.630,126.050,0.050,0.300,1.200,0.370,0.100
sub-verse410_split-verse267_vert-20,1.150,8.060,1.900,1.500,1.230,0.920,0.680
sub-verse410_split-verse267_vert-22,1.450,4.590,0.500,0.290,0.050,3.830,0.100
sub-verse410_split-verse267_vert-8,2.870,88.880,1.680,1.250,2.230,2.290,0.050
sub-verse410_split-verse267_vert-9,2.440,97.080,1.470,1.050,4.300,0.210,0.460
sub-verse410_split-verse267_vert-21,0.740,7.060,0.550,0.000,1.620,0.530,0.270
sub-verse410_split-verse267_vert-24,0.450,1.650,2.630,0.890,1.800,1.980,1.830
sub-verse410_split-verse267_vert-23,1.120,7.050,2.410,1.540,2.650,0.260,1.660
