subject-id,DSC,ASD,HD95,NSD,model
s0885_femur_left_msk,0.94,0.93,3.74,0.82,MultiScale2DPermuteConcat
s0885_femur_left_msk,0.9,1.38,5.1,0.67,TLPredictor
s0885_femur_left_msk,0.92,1.17,5.1,0.74,TwoDPermuteConcat
s0885_femur_left_msk,0.93,0.98,4.0,0.81,AttentionUnet
s0885_femur_left_msk,0.92,1.13,4.12,0.76,UNETR
s0885_femur_right_msk,0.93,0.99,3.32,0.81,UNETR
s0885_femur_right_msk,0.92,1.2,4.58,0.72,TwoDPermuteConcat
s0885_femur_right_msk,0.93,0.96,3.74,0.79,UNet
s0885_femur_right_msk,0.91,1.27,3.61,0.68,OneDConcat
s0885_femur_right_msk,0.93,0.95,3.74,0.81,AttentionUnet
s0885_femur_right_msk,0.91,1.31,4.12,0.68,TLPredictor
s0885_femur_right_msk,0.93,0.95,3.32,0.81,MultiScale2DPermuteConcat
s0212_femur_left_msk,0.92,1.25,3.16,0.73,OneDConcat
s0212_femur_left_msk,0.93,1.13,3.61,0.79,TLPredictor
s0212_femur_left_msk,0.95,0.74,2.24,0.93,UNet
s0212_femur_left_msk,0.92,1.27,3.0,0.79,UNETR
s0212_femur_left_msk,0.93,1.1,3.0,0.81,TwoDPermuteConcat
s0212_femur_left_msk,0.93,1.03,2.83,0.82,MultiScale2DPermuteConcat
s0212_femur_left_msk,0.95,0.8,2.24,0.9,AttentionUnet
s0212_femur_right_msk,0.96,0.63,2.0,0.95,UNet
s0212_femur_right_msk,0.96,0.64,2.0,0.94,AttentionUnet
s0212_femur_right_msk,0.95,0.83,2.24,0.89,MultiScale2DPermuteConcat
s0212_femur_right_msk,0.94,0.86,2.45,0.87,UNETR
s0212_femur_right_msk,0.95,0.82,2.24,0.9,TLPredictor
s0212_femur_right_msk,0.94,0.97,2.45,0.85,OneDConcat
s0212_femur_right_msk,0.95,0.69,2.0,0.94,TwoDPermuteConcat
s1130_femur_left_msk,0.94,0.92,3.0,0.86,MultiScale2DPermuteConcat
s1130_femur_left_msk,0.93,0.99,3.0,0.81,TLPredictor
s1130_femur_left_msk,0.95,0.81,2.45,0.88,UNet
s1130_femur_left_msk,0.93,1.08,3.0,0.78,OneDConcat
s1130_femur_left_msk,0.96,0.65,2.0,0.94,AttentionUnet
s1130_femur_left_msk,0.94,0.92,2.45,0.85,UNETR
s1130_femur_left_msk,0.94,0.89,2.83,0.87,TwoDPermuteConcat
s1130_femur_right_msk,0.94,0.9,3.0,0.84,MultiScale2DPermuteConcat
s1130_femur_right_msk,0.95,0.74,2.24,0.91,AttentionUnet
s1130_femur_right_msk,0.93,1.04,3.16,0.81,TLPredictor
s1130_femur_right_msk,0.93,1.08,3.61,0.76,OneDConcat
s1130_femur_right_msk,0.95,0.75,2.24,0.91,TwoDPermuteConcat
s1130_femur_right_msk,0.95,0.74,2.45,0.89,UNet
s1130_femur_right_msk,0.94,0.88,2.83,0.86,UNETR
s0988_femur_left_msk,0.86,2.34,6.4,0.46,OneDConcat
s0988_femur_left_msk,0.92,1.27,3.46,0.69,UNETR
s0988_femur_left_msk,0.93,1.22,3.61,0.76,MultiScale2DPermuteConcat
s0988_femur_left_msk,0.95,0.86,2.83,0.84,TwoDPermuteConcat
s0988_femur_left_msk,0.94,0.91,2.83,0.83,UNet
s0988_femur_left_msk,0.9,1.63,4.58,0.61,TLPredictor
s0988_femur_left_msk,0.93,1.04,3.0,0.78,AttentionUnet
s0988_femur_right_msk,0.87,1.93,6.0,0.52,MultiScale2DPermuteConcat
s0988_femur_right_msk,0.82,2.09,17.26,0.45,TwoDPermuteConcat
s0988_femur_right_msk,0.81,2.78,9.27,0.37,TLPredictor
s0988_femur_right_msk,0.86,2.12,6.4,0.46,AttentionUnet
s0988_femur_right_msk,0.82,3.35,10.82,0.42,UNETR
s0988_femur_right_msk,0.77,3.03,14.04,0.34,UNet
s0988_femur_right_msk,0.81,2.73,7.81,0.33,OneDConcat
s1143_femur_left_msk,0.95,0.86,2.45,0.88,TwoDPermuteConcat
s1143_femur_left_msk,0.91,1.37,4.12,0.67,OneDConcat
s1143_femur_left_msk,0.95,0.83,2.45,0.88,AttentionUnet
s1143_femur_left_msk,0.9,1.51,4.12,0.6,TLPredictor
s1143_femur_left_msk,0.94,0.95,3.0,0.84,UNet
s1143_femur_left_msk,0.93,1.2,3.32,0.78,UNETR
s1143_femur_left_msk,0.89,1.69,5.0,0.57,MultiScale2DPermuteConcat
s1143_femur_right_msk,0.89,1.6,5.1,0.63,TLPredictor
s1143_femur_right_msk,0.94,1.01,3.0,0.8,UNet
s1143_femur_right_msk,0.94,0.95,3.0,0.84,AttentionUnet
s1143_femur_right_msk,0.92,1.55,5.39,0.78,UNETR
s1143_femur_right_msk,0.95,0.85,2.83,0.87,TwoDPermuteConcat
s1143_femur_right_msk,0.9,1.58,4.36,0.66,OneDConcat
s1143_femur_right_msk,0.88,1.88,5.74,0.52,MultiScale2DPermuteConcat
s0502_femur_left_msk,0.93,1.1,3.16,0.78,UNETR
s0502_femur_left_msk,0.92,1.14,3.61,0.72,OneDConcat
s0502_femur_left_msk,0.91,1.27,4.12,0.69,TLPredictor
s0502_femur_left_msk,0.94,0.91,3.0,0.82,TwoDPermuteConcat
s0502_femur_left_msk,0.94,0.9,2.83,0.83,AttentionUnet
s0502_femur_left_msk,0.93,1.03,3.0,0.79,MultiScale2DPermuteConcat
s0502_femur_left_msk,0.93,1.08,3.46,0.75,UNet
s0502_femur_right_msk,0.95,1.1,2.24,0.93,TwoDPermuteConcat
s0502_femur_right_msk,0.95,0.84,2.45,0.87,AttentionUnet
s0502_femur_right_msk,0.92,1.14,3.32,0.72,TLPredictor
s0502_femur_right_msk,0.93,1.07,3.0,0.75,OneDConcat
s0502_femur_right_msk,0.95,0.75,2.45,0.89,UNet
s0502_femur_right_msk,0.94,0.86,2.45,0.87,UNETR
s0502_femur_right_msk,0.95,0.83,2.24,0.88,MultiScale2DPermuteConcat
s0141_femur_left_msk,0.95,0.67,2.0,0.94,UNet
s0141_femur_left_msk,0.94,0.85,2.83,0.87,TwoDPermuteConcat
s0141_femur_left_msk,0.92,1.12,3.16,0.81,MultiScale2DPermuteConcat
s0141_femur_left_msk,0.92,1.05,2.83,0.84,TLPredictor
s0141_femur_left_msk,0.93,0.96,3.0,0.82,UNETR
s0141_femur_left_msk,0.94,0.81,2.24,0.91,AttentionUnet
s0141_femur_left_msk,0.91,1.2,4.0,0.71,OneDConcat
s0141_femur_right_msk,0.95,0.69,2.24,0.93,UNet
s0141_femur_right_msk,0.92,1.11,3.0,0.82,MultiScale2DPermuteConcat
s0141_femur_right_msk,0.95,0.77,2.24,0.92,AttentionUnet
s0141_femur_right_msk,0.92,1.07,3.61,0.8,OneDConcat
s0141_femur_right_msk,0.95,0.73,2.24,0.93,TwoDPermuteConcat
