subject-id,DSC,ASD,HD95,NSD,model
s0607_hip_msk,0.83,0.96,3.46,0.4,OneDConcat
s0607_hip_msk,0.87,0.75,2.83,0.5,UNETR
s1120_hip_msk,0.71,1.57,5.0,0.36,SwinUNETR
s1120_hip_msk,0.61,2.08,7.07,0.2,OneDConcat
s1120_hip_msk,0.63,2.1,5.83,0.22,TLPredictor
s1120_hip_msk,0.76,1.47,4.12,0.36,TwoDPermuteConcat
s1120_hip_msk,0.68,1.75,5.2,0.3,MultiScale2DPermuteConcat
s1120_hip_msk,0.69,1.63,5.1,0.28,UNet
s1120_hip_msk,0.72,1.29,4.9,0.33,AttentionUnet
s1120_hip_msk,0.7,1.6,5.0,0.3,UNETR
s0763_hip_msk,0.86,0.73,3.0,0.51,UNETR
s0763_hip_msk,0.81,1.06,3.46,0.37,TLPredictor
s0763_hip_msk,0.86,0.76,2.83,0.5,MultiScale2DPermuteConcat
s0763_hip_msk,0.88,0.75,2.24,0.57,SwinUNETR
s0763_hip_msk,0.87,0.69,2.24,0.54,AttentionUnet
s0763_hip_msk,0.87,0.71,2.24,0.52,TwoDPermuteConcat
s0763_hip_msk,0.81,1.0,3.0,0.37,OneDConcat
s0763_hip_msk,0.87,0.79,3.0,0.5,UNet
s1349_hip_msk,0.86,0.77,3.0,0.48,TwoDPermuteConcat
s1349_hip_msk,0.84,0.89,2.83,0.45,AttentionUnet
s1349_hip_msk,0.8,1.02,3.61,0.4,MultiScale2DPermuteConcat
s1349_hip_msk,0.8,1.14,4.12,0.35,TLPredictor
s1349_hip_msk,0.78,1.63,4.24,0.33,UNETR
s1349_hip_msk,0.84,0.88,3.61,0.42,UNet
s1349_hip_msk,0.84,1.11,2.83,0.46,SwinUNETR
s1349_hip_msk,0.77,1.22,3.61,0.31,OneDConcat
s0182_hip_msk,0.82,0.95,3.0,0.41,OneDConcat
s0182_hip_msk,0.85,0.76,2.83,0.53,MultiScale2DPermuteConcat
s0182_hip_msk,0.83,0.94,2.83,0.43,UNETR
s0182_hip_msk,0.87,0.66,2.24,0.58,AttentionUnet
s0182_hip_msk,0.86,0.77,3.16,0.54,UNet
s0182_hip_msk,0.87,0.69,2.24,0.55,TwoDPermuteConcat
s0182_hip_msk,0.82,0.96,3.46,0.44,TLPredictor
s0182_hip_msk,0.88,0.66,2.24,0.59,SwinUNETR
s1069_hip_msk,0.87,0.7,3.0,0.54,MultiScale2DPermuteConcat
s1069_hip_msk,0.86,0.71,2.45,0.54,AttentionUnet
s1069_hip_msk,0.87,0.7,2.45,0.54,TwoDPermuteConcat
s1069_hip_msk,0.84,0.88,3.61,0.44,TLPredictor
s1069_hip_msk,0.89,0.62,2.24,0.6,SwinUNETR
s1069_hip_msk,0.86,0.78,3.0,0.49,UNet
s1069_hip_msk,0.83,0.88,3.46,0.46,UNETR
s1069_hip_msk,0.84,0.89,3.16,0.44,OneDConcat
s0370_hip_msk,0.84,0.9,3.0,0.43,UNETR
s0370_hip_msk,0.89,0.64,2.24,0.59,AttentionUnet
s0370_hip_msk,0.86,0.86,3.0,0.46,OneDConcat
s0370_hip_msk,0.89,0.65,2.24,0.59,SwinUNETR
s0370_hip_msk,0.9,0.62,2.45,0.59,MultiScale2DPermuteConcat
s0370_hip_msk,0.88,0.68,2.24,0.55,TwoDPermuteConcat
s0370_hip_msk,0.89,0.7,3.16,0.55,UNet
s0370_hip_msk,0.87,0.81,3.0,0.49,TLPredictor
s0668_hip_msk,0.85,0.73,2.45,0.52,AttentionUnet
s0668_hip_msk,0.84,0.8,3.0,0.5,MultiScale2DPermuteConcat
s0668_hip_msk,0.8,1.14,3.61,0.4,UNETR
s0668_hip_msk,0.86,0.7,2.24,0.52,TwoDPermuteConcat
s0668_hip_msk,0.85,0.73,3.16,0.53,UNet
s0668_hip_msk,0.77,1.09,3.46,0.36,OneDConcat
